,fpr,tpr,drug,set
0,0.0,0.0,Nitrofurantoin,full_cohort
1,0.00028498147620404675,0.0,Nitrofurantoin,full_cohort
2,0.00028498147620404675,0.006944444444444444,Nitrofurantoin,full_cohort
3,0.001139925904816187,0.006944444444444444,Nitrofurantoin,full_cohort
4,0.001139925904816187,0.009259259259259259,Nitrofurantoin,full_cohort
5,0.0014249073810202336,0.009259259259259259,Nitrofurantoin,full_cohort
6,0.0014249073810202336,0.011574074074074073,Nitrofurantoin,full_cohort
7,0.002564833285836421,0.011574074074074073,Nitrofurantoin,full_cohort
8,0.002564833285836421,0.016203703703703703,Nitrofurantoin,full_cohort
9,0.002849814762040467,0.016203703703703703,Nitrofurantoin,full_cohort
10,0.002849814762040467,0.018518518518518517,Nitrofurantoin,full_cohort
11,0.005699629524080934,0.018518518518518517,Nitrofurantoin,full_cohort
12,0.005699629524080934,0.020833333333333332,Nitrofurantoin,full_cohort
13,0.007409518381305215,0.020833333333333332,Nitrofurantoin,full_cohort
14,0.007409518381305215,0.023148148148148147,Nitrofurantoin,full_cohort
15,0.008549444286121402,0.023148148148148147,Nitrofurantoin,full_cohort
16,0.008549444286121402,0.027777777777777776,Nitrofurantoin,full_cohort
17,0.009119407238529496,0.027777777777777776,Nitrofurantoin,full_cohort
18,0.009119407238529496,0.03009259259259259,Nitrofurantoin,full_cohort
19,0.013394129381590196,0.03009259259259259,Nitrofurantoin,full_cohort
20,0.013394129381590196,0.032407407407407406,Nitrofurantoin,full_cohort
21,0.014249073810202337,0.032407407407407406,Nitrofurantoin,full_cohort
22,0.014249073810202337,0.034722222222222224,Nitrofurantoin,full_cohort
23,0.01481903676261043,0.034722222222222224,Nitrofurantoin,full_cohort
24,0.01481903676261043,0.037037037037037035,Nitrofurantoin,full_cohort
25,0.01567398119122257,0.037037037037037035,Nitrofurantoin,full_cohort
26,0.01567398119122257,0.03935185185185185,Nitrofurantoin,full_cohort
27,0.015958962667426618,0.03935185185185185,Nitrofurantoin,full_cohort
28,0.015958962667426618,0.04398148148148148,Nitrofurantoin,full_cohort
29,0.016813907096038756,0.04398148148148148,Nitrofurantoin,full_cohort
30,0.016813907096038756,0.04861111111111111,Nitrofurantoin,full_cohort
31,0.017098888572242805,0.04861111111111111,Nitrofurantoin,full_cohort
32,0.017098888572242805,0.05324074074074074,Nitrofurantoin,full_cohort
33,0.018238814477058992,0.05324074074074074,Nitrofurantoin,full_cohort
34,0.018238814477058992,0.05555555555555555,Nitrofurantoin,full_cohort
35,0.0219435736677116,0.05555555555555555,Nitrofurantoin,full_cohort
36,0.0219435736677116,0.05787037037037037,Nitrofurantoin,full_cohort
37,0.022228555143915644,0.05787037037037037,Nitrofurantoin,full_cohort
38,0.022228555143915644,0.06481481481481481,Nitrofurantoin,full_cohort
39,0.024793388429752067,0.06481481481481481,Nitrofurantoin,full_cohort
40,0.024793388429752067,0.06712962962962964,Nitrofurantoin,full_cohort
41,0.027643203191792535,0.06712962962962964,Nitrofurantoin,full_cohort
42,0.027643203191792535,0.06944444444444445,Nitrofurantoin,full_cohort
43,0.031062980906241093,0.06944444444444445,Nitrofurantoin,full_cohort
44,0.031062980906241093,0.07175925925925926,Nitrofurantoin,full_cohort
45,0.032487888287261325,0.07175925925925926,Nitrofurantoin,full_cohort
46,0.032487888287261325,0.0763888888888889,Nitrofurantoin,full_cohort
47,0.0347677400968937,0.0763888888888889,Nitrofurantoin,full_cohort
48,0.0347677400968937,0.0787037037037037,Nitrofurantoin,full_cohort
49,0.03505272157309775,0.0787037037037037,Nitrofurantoin,full_cohort
50,0.03505272157309775,0.08564814814814815,Nitrofurantoin,full_cohort
51,0.03590766600170989,0.08564814814814815,Nitrofurantoin,full_cohort
52,0.03590766600170989,0.08796296296296297,Nitrofurantoin,full_cohort
53,0.03619264747791394,0.08796296296296297,Nitrofurantoin,full_cohort
54,0.03619264747791394,0.09259259259259259,Nitrofurantoin,full_cohort
55,0.036477628954117984,0.09259259259259259,Nitrofurantoin,full_cohort
56,0.036477628954117984,0.09490740740740741,Nitrofurantoin,full_cohort
57,0.038472499287546306,0.09490740740740741,Nitrofurantoin,full_cohort
58,0.038472499287546306,0.09722222222222222,Nitrofurantoin,full_cohort
59,0.04018238814477059,0.09722222222222222,Nitrofurantoin,full_cohort
60,0.04018238814477059,0.09953703703703703,Nitrofurantoin,full_cohort
61,0.04160729552579082,0.09953703703703703,Nitrofurantoin,full_cohort
62,0.04160729552579082,0.1111111111111111,Nitrofurantoin,full_cohort
63,0.04331718438301511,0.1111111111111111,Nitrofurantoin,full_cohort
64,0.04331718438301511,0.11342592592592593,Nitrofurantoin,full_cohort
65,0.04645198062125962,0.11342592592592593,Nitrofurantoin,full_cohort
66,0.04645198062125962,0.11574074074074074,Nitrofurantoin,full_cohort
67,0.04730692504987176,0.11574074074074074,Nitrofurantoin,full_cohort
68,0.04730692504987176,0.11805555555555555,Nitrofurantoin,full_cohort
69,0.048446850954687946,0.11805555555555555,Nitrofurantoin,full_cohort
70,0.048446850954687946,0.12268518518518519,Nitrofurantoin,full_cohort
71,0.049586776859504134,0.12268518518518519,Nitrofurantoin,full_cohort
72,0.049586776859504134,0.12731481481481483,Nitrofurantoin,full_cohort
73,0.05072670276432032,0.12731481481481483,Nitrofurantoin,full_cohort
74,0.05072670276432032,0.12962962962962962,Nitrofurantoin,full_cohort
75,0.05129666571672841,0.12962962962962962,Nitrofurantoin,full_cohort
76,0.05129666571672841,0.13194444444444445,Nitrofurantoin,full_cohort
77,0.05471644343117697,0.13194444444444445,Nitrofurantoin,full_cohort
78,0.05471644343117697,0.13425925925925927,Nitrofurantoin,full_cohort
79,0.05528640638358507,0.13425925925925927,Nitrofurantoin,full_cohort
80,0.05528640638358507,0.13657407407407407,Nitrofurantoin,full_cohort
81,0.05927614705044172,0.13657407407407407,Nitrofurantoin,full_cohort
82,0.05927614705044172,0.1388888888888889,Nitrofurantoin,full_cohort
83,0.060986035907666,0.1388888888888889,Nitrofurantoin,full_cohort
84,0.060986035907666,0.1412037037037037,Nitrofurantoin,full_cohort
85,0.06269592476489028,0.1412037037037037,Nitrofurantoin,full_cohort
86,0.06269592476489028,0.14351851851851852,Nitrofurantoin,full_cohort
87,0.0652607580507267,0.14351851851851852,Nitrofurantoin,full_cohort
88,0.0652607580507267,0.14583333333333334,Nitrofurantoin,full_cohort
89,0.07153035052721574,0.14583333333333334,Nitrofurantoin,full_cohort
90,0.07153035052721574,0.14814814814814814,Nitrofurantoin,full_cohort
91,0.07181533200341977,0.14814814814814814,Nitrofurantoin,full_cohort
92,0.07181533200341977,0.15046296296296297,Nitrofurantoin,full_cohort
93,0.07381020233684811,0.15046296296296297,Nitrofurantoin,full_cohort
94,0.07381020233684811,0.1527777777777778,Nitrofurantoin,full_cohort
95,0.07666001709888857,0.1527777777777778,Nitrofurantoin,full_cohort
96,0.07666001709888857,0.1550925925925926,Nitrofurantoin,full_cohort
97,0.07836990595611286,0.1550925925925926,Nitrofurantoin,full_cohort
98,0.07836990595611286,0.1574074074074074,Nitrofurantoin,full_cohort
99,0.07893986890852095,0.1574074074074074,Nitrofurantoin,full_cohort
100,0.07893986890852095,0.1597222222222222,Nitrofurantoin,full_cohort
101,0.08036477628954118,0.1597222222222222,Nitrofurantoin,full_cohort
102,0.08036477628954118,0.16203703703703703,Nitrofurantoin,full_cohort
103,0.08093473924194927,0.16203703703703703,Nitrofurantoin,full_cohort
104,0.08093473924194927,0.16435185185185186,Nitrofurantoin,full_cohort
105,0.08321459105158165,0.16435185185185186,Nitrofurantoin,full_cohort
106,0.08321459105158165,0.16666666666666666,Nitrofurantoin,full_cohort
107,0.08435451695639784,0.16666666666666666,Nitrofurantoin,full_cohort
108,0.08435451695639784,0.16898148148148148,Nitrofurantoin,full_cohort
109,0.09119407238529495,0.16898148148148148,Nitrofurantoin,full_cohort
110,0.09119407238529495,0.1736111111111111,Nitrofurantoin,full_cohort
111,0.09717868338557993,0.1736111111111111,Nitrofurantoin,full_cohort
112,0.09717868338557993,0.17592592592592593,Nitrofurantoin,full_cohort
113,0.10031347962382445,0.17592592592592593,Nitrofurantoin,full_cohort
114,0.10031347962382445,0.17824074074074073,Nitrofurantoin,full_cohort
115,0.10173838700484468,0.17824074074074073,Nitrofurantoin,full_cohort
116,0.10173838700484468,0.18055555555555555,Nitrofurantoin,full_cohort
117,0.10373325733827302,0.18055555555555555,Nitrofurantoin,full_cohort
118,0.10373325733827302,0.18287037037037038,Nitrofurantoin,full_cohort
119,0.1043032202906811,0.18287037037037038,Nitrofurantoin,full_cohort
120,0.1043032202906811,0.18518518518518517,Nitrofurantoin,full_cohort
121,0.10601310914790539,0.18518518518518517,Nitrofurantoin,full_cohort
122,0.10601310914790539,0.1875,Nitrofurantoin,full_cohort
123,0.11199772014819037,0.1875,Nitrofurantoin,full_cohort
124,0.11199772014819037,0.18981481481481483,Nitrofurantoin,full_cohort
125,0.1139925904816187,0.18981481481481483,Nitrofurantoin,full_cohort
126,0.1139925904816187,0.19212962962962962,Nitrofurantoin,full_cohort
127,0.11627244229125107,0.19212962962962962,Nitrofurantoin,full_cohort
128,0.11627244229125107,0.19444444444444445,Nitrofurantoin,full_cohort
129,0.11712738671986321,0.19444444444444445,Nitrofurantoin,full_cohort
130,0.11712738671986321,0.19907407407407407,Nitrofurantoin,full_cohort
131,0.12567683100598462,0.19907407407407407,Nitrofurantoin,full_cohort
132,0.12567683100598462,0.2013888888888889,Nitrofurantoin,full_cohort
133,0.12909660872043316,0.2013888888888889,Nitrofurantoin,full_cohort
134,0.12909660872043316,0.2037037037037037,Nitrofurantoin,full_cohort
135,0.12938159019663723,0.2037037037037037,Nitrofurantoin,full_cohort
136,0.12938159019663723,0.20601851851851852,Nitrofurantoin,full_cohort
137,0.13137646053006555,0.20601851851851852,Nitrofurantoin,full_cohort
138,0.13137646053006555,0.20833333333333334,Nitrofurantoin,full_cohort
139,0.1322314049586777,0.20833333333333334,Nitrofurantoin,full_cohort
140,0.1322314049586777,0.21064814814814814,Nitrofurantoin,full_cohort
141,0.1353662011969222,0.21064814814814814,Nitrofurantoin,full_cohort
142,0.1353662011969222,0.21296296296296297,Nitrofurantoin,full_cohort
143,0.13622114562553433,0.21296296296296297,Nitrofurantoin,full_cohort
144,0.13622114562553433,0.2152777777777778,Nitrofurantoin,full_cohort
145,0.13764605300655458,0.2152777777777778,Nitrofurantoin,full_cohort
146,0.13764605300655458,0.2175925925925926,Nitrofurantoin,full_cohort
147,0.13850099743516672,0.2175925925925926,Nitrofurantoin,full_cohort
148,0.13850099743516672,0.22453703703703703,Nitrofurantoin,full_cohort
149,0.13878597891137076,0.22453703703703703,Nitrofurantoin,full_cohort
150,0.13878597891137076,0.22685185185185186,Nitrofurantoin,full_cohort
151,0.1444856084354517,0.22685185185185186,Nitrofurantoin,full_cohort
152,0.1444856084354517,0.22916666666666666,Nitrofurantoin,full_cohort
153,0.1450555713878598,0.22916666666666666,Nitrofurantoin,full_cohort
154,0.1450555713878598,0.2337962962962963,Nitrofurantoin,full_cohort
